id	cluster
ureC_501	urec
ureC_517	urec
ureC_632	urec
ureC_118	urec
ureC_572	urec
ureC_757	urec
ureC_739	urec
ureC_73	urec
ureC_731	urec
ureC_98	urec
ureC_129	urec
ureC_736	urec
ureC_593	urec
ureC_343	urec
ureC_643	urec
ureC_728	urec
ureC_563	urec
ureC_782	urec
ureC_693	urec
ureC_686	urec
ureC_74	urec
ureC_526	urec
ureC_446	urec
ureC_250	urec
ureC_222	urec
ureC_381	urec
ureC_266	urec
ureC_616	urec
ureC_145	urec
ko04_9	urec
ureC_601	urec
ureC_298	urec
ureC_648	urec
ureC_205	urec
ureC_257	urec
ureC_283	urec
ureC_436	urec
ureC_220	urec
ureC_761	urec
ureC_438	urec
ureC_425	urec
ureC_37	urec
ureC_109	urec
ureC_57	urec
ureC_523	urec
ureC_551	urec
ureC_424	urec
ureC_360	urec
ureC_331	urec
ureC_248	urec
ureC_329	urec
ureC_170	urec
ureC_765	urec
ureC_554	urec
ureC_181	urec
ureC_488	urec
ureC_519	urec
ureC_25	urec
ureC_107	urec
ureC_38	urec
ureC_175	urec
ureC_586	urec
ureC_746	urec
ureC_280	urec
ureC_243	urec
ureC_320	urec
ureC_78	urec
ureC_51	urec
ureC_418	urec
ureC_548	urec
ureC_599	urec
ureC_100	urec
ureC_749	urec
ureC_400	urec
ureC_499	urec
ureC_454	urec
ureC_668	urec
ureC_275	urec
ureC_321	urec
ureC_428	urec
ureC_618	urec
ureC_387	urec
ureC_313	urec
ureC_16	urec
ureC_193	urec
ureC_46	urec
ureC_168	urec
ureC_225	urec
ureC_0	urec
ureC_646	urec
ureC_87	urec
ureC_779	urec
ureC_655	urec
ureC_619	urec
ureC_65	urec
ureC_657	urec
ureC_622	urec
ureC_678	urec
ureC_267	urec
ureC_790	urec
ureC_662	urec
ureC_714	urec
ureC_344	urec
ureC_441	urec
ureC_708	urec
ureC_288	urec
ureC_227	urec
ureC_687	urec
ureC_796	urec
ureC_781	urec
ureC_55	urec
ureC_241	urec
ureC_293	urec
ureC_11	urec
ureC_439	urec
ureC_59	urec
ureC_472	urec
ureC_795	urec
ureC_537	urec
ureC_326	urec
ureC_656	urec
ureC_392	urec
ureC_750	urec
ureC_83	urec
ureC_737	urec
ureC_480	urec
ureC_258	urec
ko04_7	urec
ureC_292	urec
ureC_260	urec
ureC_777	urec
ureC_13	urec
ureC_463	urec
ureC_91	urec
ureC_636	urec
ureC_406	urec
ureC_520	urec
ureC_86	urec
ureC_497	urec
ureC_703	urec
ureC_412	urec
ureC_303	urec
ureC_591	urec
ureC_371	urec
ureC_430	urec
ureC_50	urec
ureC_15	urec
ureC_232	urec
ureC_525	urec
ureC_734	urec
ureC_207	urec
ureC_493	urec
ureC_719	urec
ureC_240	urec
ureC_621	urec
ureC_364	urec
ureC_798	urec
ureC_677	urec
ureC_450	urec
ureC_314	urec
ureC_299	urec
ureC_237	urec
ureC_640	urec
ureC_426	urec
ureC_153	urec
ureC_103	urec
ureC_453	urec
ureC_423	urec
ureC_22	urec
ureC_741	urec
ureC_52	urec
ureC_221	urec
ko04_6	urec
ureC_119	urec
ureC_72	urec
ureC_305	urec
ureC_361	urec
ureC_513	urec
ureC_171	urec
ureC_399	urec
ureC_247	urec
ureC_419	urec
ureC_664	urec
ureC_700	urec
ureC_658	urec
ureC_323	urec
ureC_263	urec
ureC_707	urec
ureC_697	urec
ureC_302	urec
ko04_23	urec
ko04_13	urec
ureC_308	urec
ko04_24	urec
ureC_357	urec
ko04_21	urec
ureC_212	urec
ureC_177	urec
ureC_505	urec
ureC_116	urec
ureC_666	urec
ureC_679	urec
ureC_34	urec
ureC_671	urec
ureC_667	urec
ureC_704	urec
ureC_189	urec
ureC_771	urec
ureC_197	urec
ureC_581	urec
ureC_3	urec
ko04_19	urec
ureC_359	urec
ureC_528	urec
ureC_633	urec
ureC_769	urec
ureC_362	urec
ureC_645	urec
ko04_12	urec
ureC_594	urec
ureC_644	urec
ureC_598	urec
ureC_717	urec
ureC_793	urec
ureC_233	urec
ureC_411	urec
ureC_410	urec
ureC_416	urec
ureC_397	urec
ureC_63	urec
ureC_278	urec
ureC_479	urec
ureC_615	urec
ureC_158	urec
ureC_77	urec
ureC_420	urec
ureC_117	urec
ureC_36	urec
ureC_634	urec
ureC_650	urec
ureC_723	urec
ureC_398	urec
ko04_16	urec
ureC_785	urec
ureC_794	urec
ko04_11	urec
ureC_61	urec
ureC_93	urec
ureC_182	urec
ureC_379	urec
ureC_477	urec
ureC_536	urec
ureC_768	urec
ureC_54	urec
ureC_503	urec
ureC_409	urec
ureC_625	urec
ureC_224	urec
ureC_162	urec
ureC_141	urec
ureC_485	urec
ureC_641	urec
ureC_342	urec
ureC_95	urec
ureC_514	urec
ureC_349	urec
ureC_128	urec
ureC_538	urec
ureC_338	urec
ureC_322	urec
ureC_256	urec
ureC_500	urec
ureC_396	urec
ureC_783	urec
ureC_81	urec
ureC_533	urec
ureC_706	urec
ureC_335	urec
ureC_150	urec
ureC_45	urec
ureC_449	urec
ureC_630	urec
ureC_26	urec
ureC_105	urec
ureC_510	urec
ureC_753	urec
ureC_661	urec
ureC_564	urec
ureC_18	urec
ureC_486	urec
ureC_609	urec
ureC_752	urec
ureC_291	urec
ureC_624	urec
ureC_382	urec
ureC_269	urec
ureC_92	urec
ureC_328	urec
ureC_202	urec
ureC_130	urec
ureC_104	urec
ureC_142	urec
ureC_62	urec
ureC_729	urec
ureC_705	urec
ureC_691	urec
ureC_602	urec
ureC_126	urec
ureC_295	urec
ureC_592	urec
ureC_66	urec
ureC_560	urec
ureC_459	urec
ureC_143	urec
ureC_242	urec
ho97_2	out
ureC_559	out
ho97_3	out
ho97_1	out
ho97_0	out
ho97_4	out
ureC_137	out
ho97_5	out
ho97_6	out
