name	LWR	fract	aLWR	afract	taxopath
query_2334	0.06384	0.1597	0.06384	0.1597	cluster_IV;d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis_C
query_4230	0.09982	0.265	0.2682	0.7122	cluster_IV
query_1733	0.3076	0.7693	0.3076	0.7693	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_1598	0.07604	0.2219	0.1223	0.357	cluster_IV;d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus
query_3522	0.3237	0.7777	0.3237	0.7777	cluster_I;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium gaetbulicola
query_1741	0.06732	0.6283	0.07754	0.7237	cluster_IV;d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales
query_4999	0.3323	0.6551	0.3323	0.6551	cluster_IV;d__Archaea;p__Halobacterota
query_2077	0.05628	0.3009	0.1027	0.549	cluster_III;d__Bacteria
query_3266	0.09513	0.2242	0.09513	0.2242	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_337	0.5857	0.9719	0.5857	0.9719	DISTANT
query_3318	0.01557	1	0.01557	1	cluster_IV;d__Bacteria;p__Bacteroidota;c__Chlorobia;o__Chlorobiales;f__Chloroherpetonaceae;g__Chloroherpeton;s__Chloroherpeton thalassium
query_438	0.03064	0.5001	0.03064	0.5001	DISTANT
query_4103	0.006308	0.6337	0.006308	0.6337	cluster_IV;d__Archaea;p__Halobacterota
query_3649	0.2464	0.6325	0.2464	0.6325	cluster_IV;d__Archaea;p__Halobacterota
query_4581	0.3657	1	0.3657	1	DISTANT
query_4607	0.3319	1	0.3319	1	DISTANT
