query_id	cluster_id	cluster_score	cluster_taxopath	taxopath
query_294	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_331	cluster_II	1.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA3505;f__UBA3505;g__UBA3505;s__UBA3505 sp002728755
query_382	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_394	cluster_IV	0.0	Unspecified	
query_12	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
query_146	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
query_182	DISTANT	None	Unspecified	
query_232	DISTANT	None	Unspecified	
query_270	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methylomonas;s__Methylomonas methanica_B
query_308	DISTANT	None	Unspecified	
query_378	DISTANT	None	Unspecified	
query_1	DISTANT	None	Unspecified	
query_44	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus vulcani
query_99	DISTANT	None	Unspecified	
query_143	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_192	cluster_III	1.0	Unspecified	d__Bacteria
query_233	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria
query_279	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanopyri;o__Methanopyrales;f__Methanopyraceae;g__Methanopyrus;s__Methanopyrus kandleri
query_372	cluster_IV	0.0	Unspecified	d__Bacteria;p__Planctomycetota;c__PUPC01;o__;f__;g__;s__
query_2	DISTANT	None	Unspecified	
query_48	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_151	cluster_IV	0.0	Unspecified	
query_189	cluster_III	1.0	Unspecified	d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio_F;s__Desulfovibrio_F fructosivorans
query_245	DISTANT	None	Unspecified	
query_291	DISTANT	None	Unspecified	
query_330	DISTANT	None	Unspecified	
query_407	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_7	DISTANT	None	Unspecified	
query_71	DISTANT	None	Unspecified	
query_104	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__ANME-1;g__;s__
query_223	cluster_IV	0.0	Unspecified	
query_286	cluster_IV	0.0	Unspecified	
query_317	cluster_I	1.0	d__Bacteria	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Microcystaceae;g__Atelocyanobacterium;s__Atelocyanobacterium thalassa_A
query_361	DISTANT	None	Unspecified	
query_402	DISTANT	None	Unspecified	
query_24	cluster_IV	0.0	Unspecified	d__Bacteria
query_110	DISTANT	None	Unspecified	
query_217	DISTANT	None	Unspecified	
query_281	cluster_IV	0.0	Unspecified	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Marinifilaceae;g__Labilibaculum;s__Labilibaculum filiforme
query_401	cluster_IV	0.0	Unspecified	d__Archaea;p__Euryarchaeota;c__Methanococci;o__Methanococcales
query_34	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042
query_113	DISTANT	None	Unspecified	
query_163	DISTANT	None	Unspecified	
query_202	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__UBA9042;f__UBA9042;g__UBA9042;s__
query_280	DISTANT	None	Unspecified	
query_377	cluster_IV	0.0	Unspecified	d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Enhygromyxa;s__Enhygromyxa salina_B
query_414	DISTANT	None	Unspecified	
query_39	cluster_III	1.0	Unspecified	d__Bacteria
query_123	cluster_IV	0.0	Unspecified	d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
query_228	cluster_II	1.0	Unspecified	d__Bacteria;p__Myxococcota;c__UBA9042;o__PWKZ01;f__;g__;s__
